ID,name,Copper,Gold,Timber,Natural Gas,Freshwater
1,Newfoundland and Labrador,6.39,0.49,0.78,0,3.52
2,Prince Edward Island,0,0,0.24,0,0
3,Nova Scotia,0,0,2.27,0.69,0.22
4,New Brunswick,0,0,6.51,1.35,0.16
5,Québec,6.69,32.55,17.35,6.75,19.85
6,Ontario,28.46,46.09,8.29,30.8,17.8
7,Manitoba,5.85,2.04,0.83,2.45,10.58
8,Saskatchewan,0.14,1.53,1.92,8.12,6.66
9,Alberta,0,0.02,15.01,42.93,2.19
10,British Columbia,50.04,8.09,46.78,2.36,2.19
11,Yukon,2.4,1.48,0.02,1.2,0.9
12,Northwest Territories,0.03,0,0.01,3.36,18.29
13,Nunavut,0,7.71,0,0,17.63
